Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000199869485857869,0.000556619002151084,0.00469963496815284,0,0,0,0.670811138520923,0.000375618663416432,2.42317909402465E-08,4.33100484218247E-06,0.000838609036708274,5.47863479312491E-07,0.000624542308718559,0,0,0,0,0,0,package://quadped_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://quadped_urdf/meshes/base_link.STL,,_body_structure-1;_leg_front_left-1/_hip_aa_module-1/hip_aa_module_shell-3;_leg_front_right-2/_hip_aa_module-1/hip_aa_module_shell-3;_leg_front_right-1/_hip_aa_module-1/hip_aa_module_shell-3;_leg_front_left-2/_hip_aa_module-1/hip_aa_module_shell-3,Coordinate System14,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fe_1,0.000133784347622304,4.77330235079005E-05,0.106028370145983,0,0,0,0.0410869722409442,0.00011531160730975,1.29677045975409E-08,2.07977871016147E-07,0.000110878132321103,1.25387573590273E-07,8.60693868056784E-06,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_1.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_1.STL,,_leg_front_left-2/_hip_fe_module-1/hip_fe_module_shell-3,Coordinate System1,Axis1,fixed_fe_joint1,continuous,0.0875,0,0.02955,0,0,0,base_link,0,0,1,,,,,,,,,,,,
upper_1,-0.0597384086105178,-0.0577400488263468,-0.0211210718210717,0,0,0,0.0446543406730976,7.77450392778894E-05,-6.95025591666466E-05,-7.26036146442219E-06,8.27688720251678E-05,-7.00120031315984E-06,0.00015285801774174,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_1.STL,0.619607843137255,0.807843137254902,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_1.STL,,_leg_front_left-2/_upper_leg_module-1/upper_leg_module_shell-2,Coordinate System5,Axis5,fe_upper_1,continuous,0.014,0,0.1648,3.14159265358979,-1.5707963267949,0,fe_1,0,0,1,,,,,,,,,,,,
lower_1,-0.0451015746230226,-0.0511635786738877,0.0071128841582116,0,0,0,0.0342018777935593,5.78661077701089E-05,-4.96017387584486E-05,1.2917130837338E-06,4.53223712452692E-05,1.46532747000408E-06,0.000102339922101355,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_1.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_1.STL,,_leg_front_left-2/_lower_leg-1/lower_leg_solid-1,Coordinate System9,Axis9,upper_lower1,continuous,-0.115099296377973,-0.111140235723614,-0.037449999892348,3.14159265358979,0,3.14159265358979,upper_1,0,0,-1,,,,,,,,,,,,
fe_2,0.000133783663271922,-4.77318376975103E-05,-0.120628370705068,0,0,0,0.0410869680075753,0.000115311606588616,-1.29680490679935E-08,-2.07977716884497E-07,0.00011087813235385,1.25387311435636E-07,8.60693825829928E-06,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_2.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_2.STL,,_leg_front_right-2/_hip_fe_module-1/hip_fe_module_shell-3,Coordinate System2,Axis2,fixed_fe2,continuous,0.0875,0,-0.01505,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
upper_2,0.0589909759927409,-0.0585038831685175,-0.0211210807910604,0,0,0,0.0446542245768807,7.98280498328104E-05,6.95465211209788E-05,7.1532103850981E-06,8.06879995257044E-05,-7.11064311154229E-06,0.000152857828919439,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_2.STL,0.619607843137255,0.807843137254902,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_2.STL,,_leg_front_right-2/_upper_leg_module-1/upper_leg_module_shell-2,Coordinate System6,Axis6,fe_upper2,continuous,0.014,0,-0.1794,3.14159265358979,-1.5707963267949,0,fe_2,0,0,1,,,,,,,,,,,,
lower_2,0.0488250783006519,-0.0476232678429994,0.00711288414141042,0,0,0,0.0342018770763651,5.03484849740801E-05,4.99811652852977E-05,-1.39835266732097E-06,5.28399931282873E-05,1.36393449757027E-06,0.000102339921207292,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_2.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_2.STL,,_leg_front_right-2/_lower_leg-1/lower_leg_solid-1,Coordinate System10,Axis10,upper_lower2,continuous,0.113550017656808,-0.11272263975711,-0.0374499998987262,-3.14159265358979,0,-3.14159265358979,upper_2,0,0,-1,,,,,,,,,,,,
fe_3,-0.000133784343773896,-4.77306488392214E-05,0.120628370198019,0,0,0,0.0410869722175319,0.00011531160729402,1.29683942005516E-08,-2.07977852336387E-07,0.000110878131679831,-1.2538706892328E-07,8.60693806694117E-06,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_3.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_3.STL,,_leg_front_right-1/_hip_fe_module-1/hip_fe_module_shell-3,Coordinate System3,Axis3,fixed_fe3,continuous,-0.0875,0,0.0150499999999999,0,0,0,base_link,0,0,1,,,,,,,,,,,,
upper_3,-0.0604981268118873,-0.0569429106565106,0.0211209869663977,0,0,0,0.0446546348773634,7.61977883784226E-05,-6.94292608686278E-05,7.33647161233422E-06,8.43186953376684E-05,6.92142192601393E-06,0.000152857887920906,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_3.STL,0.619607843137255,0.807843137254902,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_3.STL,,_leg_front_right-1/_upper_leg_module-1/upper_leg_module_shell-2,Coordinate System8,Axis8,fe_upper3,continuous,-0.014,0,0.1794,3.14159265358979,-1.5707963267949,0,fe_3,0,0,-1,,,,,,,,,,,,
lower_3,-0.0442900756867695,-0.0518676504095001,-0.00711288434835652,0,0,0,0.0342018772349896,5.94254807461177E-05,-4.93795547324207E-05,-1.26846981761219E-06,4.37629968314577E-05,-1.48549381364917E-06,0.000102339920764835,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_3.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_3.STL,,_leg_front_right-1/_lower_leg-1/lower_leg_solid-1,Coordinate System12,Axis12,upper_lower3,continuous,-0.116454958715717,-0.109718925397384,0.0374499999982159,3.14159265358979,0,-3.14159265358979,upper_3,0,0,1,,,,,,,,,,,,
fe_4,-0.000133784244345653,4.77307753636163E-05,-0.105878371015855,0,0,0,0.0410869728202433,0.000115311609365403,-1.29684323868918E-08,2.07978100591953E-07,0.000110878134389651,-1.25386757701034E-07,8.60693880041462E-06,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_4.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/fe_4.STL,,_leg_front_left-1/_hip_fe_module-1/hip_fe_module_shell-3,Coordinate System4,Axis4,fixed_fe4,continuous,-0.0875,0,-0.0297,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
upper_4,0.0559181010152732,-0.0614465869752386,0.0211209824502505,0,0,0,0.0446546254311322,8.66459519584787E-05,6.9253565215849E-05,-6.7971455511834E-06,7.38627775858064E-05,7.45176677363446E-06,0.000152857864044894,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_4.STL,0.619607843137255,0.807843137254902,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/upper_4.STL,,_leg_front_left-1/_upper_leg_module-1/upper_leg_module_shell-2,Coordinate System7,Axis7,fe_upper4,continuous,-0.014,0,-0.16465,3.14159265358979,-1.5707963267949,0,fe_4,0,0,-1,,,,,,,,,,,,
lower_4,0.0492622082174013,-0.047170952259612,-0.00711288432869739,0,0,0,0.0342018774179522,4.94267586230462E-05,4.99496830473901E-05,1.41087382739234E-06,5.37617198399135E-05,-1.3509783468548E-06,0.000102339921625709,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_4.STL,0.466666666666667,0.733333333333333,1,1,0,0,0,0,0,0,package://quadped_urdf/meshes/lower_4.STL,,_leg_front_left-1/_lower_leg-1/lower_leg_solid-1,Coordinate System11,Axis11,upper_lower4,continuous,0.107746216734634,-0.118282512568206,0.0374500000013904,3.14159265358979,0,-3.14159265358979,upper_4,0,0,1,,,,,,,,,,,,
